source,target,timestamp,id,lang
Yumeto,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 5, 1, 7, 27), datetime.datetime(2020, 4, 24, 11, 0)]","['59448599', '59334132']",zh
Googol19980904,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 30, 7, 20), datetime.datetime(2019, 11, 16, 13, 55), datetime.datetime(2019, 11, 16, 13, 53), datetime.datetime(2019, 11, 9, 10, 10), datetime.datetime(2019, 11, 9, 10, 6), datetime.datetime(2019, 6, 2, 14, 45), datetime.datetime(2019, 6, 2, 14, 43)]","['59431956', '56898565', '56898550', '56807162', '56807105', '54660417', '54660396']",zh
EnchanterLee,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 30, 6, 52), datetime.datetime(2020, 4, 29, 19, 20), datetime.datetime(2020, 4, 29, 18, 53)]","['59431544', '59425089', '59424944']",zh
黄琬琦,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 30, 4, 41), datetime.datetime(2020, 4, 30, 4, 39), datetime.datetime(2020, 4, 30, 4, 15), datetime.datetime(2020, 4, 30, 4, 5), datetime.datetime(2020, 4, 29, 19, 51), datetime.datetime(2020, 4, 29, 19, 15), datetime.datetime(2020, 4, 29, 19, 9), datetime.datetime(2020, 4, 29, 18, 54), datetime.datetime(2020, 4, 29, 18, 47), datetime.datetime(2020, 4, 29, 18, 19)]","['59429626', '59429605', '59429373', '59429233', '59425212', '59425078', '59425048', '59424950', '59424924', '59424745']",zh
Larryasou,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 28, 7, 42)]",['59397027'],zh
Songsexy,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 26, 14, 54), datetime.datetime(2020, 4, 26, 14, 42), datetime.datetime(2020, 4, 26, 14, 6)]","['59372192', '59371999', '59371347']",zh
扬州炒面君,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 26, 13, 44)]",['59370925'],zh
AINH,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 21, 22, 30), datetime.datetime(2020, 4, 21, 22, 8), datetime.datetime(2019, 9, 30, 9, 54), datetime.datetime(2019, 9, 24, 6, 52), datetime.datetime(2019, 9, 21, 5, 32), datetime.datetime(2019, 8, 22, 7, 35), datetime.datetime(2019, 6, 6, 12, 38), datetime.datetime(2019, 6, 6, 10, 57), datetime.datetime(2019, 6, 6, 10, 51), datetime.datetime(2019, 1, 2, 19, 40), datetime.datetime(2019, 1, 2, 19, 36), datetime.datetime(2019, 1, 2, 19, 26), datetime.datetime(2018, 12, 4, 3, 47), datetime.datetime(2018, 10, 24, 11, 50), datetime.datetime(2018, 10, 5, 2, 29), datetime.datetime(2018, 9, 13, 18, 11), datetime.datetime(2018, 9, 13, 17, 59), datetime.datetime(2018, 8, 15, 4, 56), datetime.datetime(2018, 8, 13, 13, 34), datetime.datetime(2018, 8, 13, 13, 30), datetime.datetime(2018, 8, 13, 13, 19), datetime.datetime(2018, 8, 3, 13, 14), datetime.datetime(2018, 7, 28, 13, 37), datetime.datetime(2018, 7, 23, 14, 1), datetime.datetime(2018, 7, 11, 10, 19)]","['59291529', '59291469', '56299779', '56216703', '56180664', '55768590', '54709535', '54708352', '54708294', '52624779', '52624768', '52624741', '52256455', '51762266', '51523462', '51271541', '51271494', '50876291', '50854737', '50854691', '50854548', '50711910', '50624281', '50552926', '50356324']",zh
Megumisbs,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 17, 17, 15), datetime.datetime(2020, 4, 17, 17, 13), datetime.datetime(2020, 4, 17, 14, 1)]","['59217603', '59217595', '59215038']",zh
Huanqiu,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 16, 11, 37), datetime.datetime(2020, 4, 16, 11, 35)]","['59195199', '59195170']",zh
AlexLeeCN,“六四事件”的版本历史 - 维基百科，自由的百科全书,"[datetime.datetime(2020, 4, 6, 9, 28), datetime.datetime(2020, 4, 6, 9, 7), datetime.datetime(2020, 3, 17, 1, 50), datetime.datetime(2019, 11, 24, 6, 41), datetime.datetime(2019, 11, 23, 12, 47), datetime.datetime(2019, 11, 15, 12, 48), datetime.datetime(2019, 10, 24, 5, 11), datetime.datetime(2018, 8, 13, 13, 50), datetime.datetime(2018, 7, 28, 13, 47), datetime.datetime(2018, 7, 11, 8, 18), datetime.datetime(2018, 5, 30, 4, 42), datetime.datetime(2018, 11, 3, 7, 24)]","['59015888', '59015447', '58664875', '56998548', '56988797', '56885247', '56596747', '50854954', '50624392', '50354842', '49770906', '47816574']",zh
