id,lang,type
Ohconfucius,"{'en': 51, 'zh': 46}",user
Yungeditor,"{'en': 26, 'zh': 0}",user
Kdm852,"{'en': 56, 'zh': 2}",user
Metalduky54,"{'en': 24, 'zh': 0}",user
Wrath X,"{'en': 1, 'zh': 0}",user
Rjwilmsi,"{'en': 75, 'zh': 0}",user
Alarjar,"{'en': 39, 'zh': 0}",user
Maximajorian Viridio,"{'en': 1, 'zh': 0}",user
Bender the Bot,"{'en': 1, 'zh': 0}",user
Nicholas0,"{'en': 66, 'zh': 1}",user
Jargo Nautilus,"{'en': 1, 'zh': 0}",user
Kiteinthewind,"{'en': 56, 'zh': 40}",user
Wefk423,"{'en': 67, 'zh': 31}",user
Peter Yeung,"{'en': 1, 'zh': 0}",user
HeisenbergPinkman,"{'en': 29, 'zh': 0}",user
Joeccho,"{'en': 45, 'zh': 40}",user
Hari147,"{'en': 61, 'zh': 0}",user
MrOllie,"{'en': 85, 'zh': 4}",user
CO888,"{'en': 14, 'zh': 0}",user
Interstellarity,"{'en': 60, 'zh': 0}",user
MB,"{'en': 56, 'zh': 0}",user
Alexanderlam128,"{'en': 46, 'zh': 49}",user
PVQZ,"{'en': 11, 'zh': 1}",user
SovanDara,"{'en': 33, 'zh': 0}",user
Dogdsmv342d,"{'en': 56, 'zh': 67}",user
YuriGagrin12,"{'en': 44, 'zh': 0}",user
Ivanlm78,"{'en': 23, 'zh': 0}",user
Sleath56,"{'en': 27, 'zh': 0}",user
Ethanmayersweet,"{'en': 61, 'zh': 0}",user
Colonestarrice,"{'en': 30, 'zh': 0}",user
Flyguy1020,"{'en': 98, 'zh': 0}",user
Ipodendtz,"{'en': 29, 'zh': 0}",user
ChrisWar666,"{'en': 46, 'zh': 1}",user
Bonthefox3,"{'en': 49, 'zh': 0}",user
Kinglogic,"{'en': 50, 'zh': 0}",user
KREOH,"{'en': 68, 'zh': 0}",user
Doseiai2,"{'en': 47, 'zh': 0}",user
CaptainDaniel23,"{'en': 31, 'zh': 0}",user
Roselle Charles,"{'en': 1, 'zh': 0}",user
STSC,"{'en': 20, 'zh': 8}",user
Sirlanz,"{'en': 26, 'zh': 2}",user
DOR (HK),"{'en': 1, 'zh': 0}",user
Opera fera,"{'en': 1, 'zh': 0}",user
Vanamonde93,"{'en': 58, 'zh': 0}",user
142.55.0.14,"{'en': 35, 'zh': 0}",user
38.140.15.75,"{'en': 12, 'zh': 0}",user
Kudpung,"{'en': 50, 'zh': 0}",user
DreamLinker,"{'en': 36, 'zh': 0}",user
DerekHistorian,"{'en': 19, 'zh': 0}",user
Robynthehode,"{'en': 74, 'zh': 0}",user
Pageseditor,"{'en': 34, 'zh': 0}",user
Simonm223,"{'en': 28, 'zh': 0}",user
Feer,"{'en': 54, 'zh': 0}",user
Underwaterbuffalo,"{'en': 72, 'zh': 56}",user
10MB,"{'en': 63, 'zh': 0}",user
LeoC12,"{'en': 51, 'zh': 0}",user
Prisencolin,"{'en': 38, 'zh': 10}",user
Cavercse,"{'en': 9, 'zh': 0}",user
PoetVeches,"{'en': 15, 'zh': 3}",user
Frietjes,"{'en': 91, 'zh': 26}",user
